WORD	BFRQ	CNC	KFCAT	FAM	KFSMP	IMG	KFFRQ	NLET	CMEAN	NPHN	NSYL	T-LFRQ
OBSERVATORY	1	-	2	-	2	-	3	11	-	9	4	5
COLLECTIVE	2	-	8	-	20	-	32	10	-	8	3	26
DICTATORSHIP	-	-	5	-	10	-	13	12	-	10	4	25
JOBS	15	-	-	-	-	-	-	4	-	-	-	-
DEMONIC	1	-	-	-	-	-	-	7	-	7	3	-
BANG	1	435	5	503	6	470	7	4	391	3	1	94
LEATHER	-	575	10	571	21	586	24	7	434	4	2	171
PERISH	-	329	1	483	1	404	2	6	434	5	2	33
HOPEFULLY	1	-	-	-	-	-	-	9	-	-	-	-
IRIS	-	589	-	493	-	606	-	4	439	-	2	84
IRIS	-	589	-	493	-	606	-	4	439	5	3	84
HEARS	1	-	-	-	-	-	-	5	-	-	-	-
INTERVIEW	37	420	8	520	18	499	34	9	-	7	3	184
CURTAIN	-	-	8	-	11	-	13	7	-	4	2	414
ELAINE	-	-	-	-	-	-	-	6	-	-	-	-
DANCES	-	-	-	-	-	-	-	6	-	-	-	-
REFLUX	-	-	-	-	-	-	-	6	-	7	2	-
SMELLY	-	-	-	-	-	-	-	6	-	5	2	-
TROUBLES	7	-	-	-	-	-	-	8	-	-	-	-
APARTMENT	-	575	12	491	39	556	81	9	490	8	3	531
TEATS	-	-	-	-	-	-	-	5	-	-	-	-
CIRCULARS	-	-	-	-	-	-	-	9	-	-	-	-
TOURISTS	-	-	-	-	-	-	-	8	-	-	-	-
PERFUME	-	-	5	-	9	-	10	7	-	6	2	150
JACKIE	-	-	-	-	-	-	-	6	-	-	-	-
SPENDS	-	-	-	-	-	-	-	6	-	-	-	-
PARTICLE	-	-	5	-	9	-	21	8	-	6	3	31
SCUTTLES	-	-	-	-	-	-	-	8	-	-	-	-
DIPS	-	-	-	-	-	-	-	4	-	-	-	-
OCEAN	2	593	12	526	22	623	34	5	522	4	2	117
ASSOCIATE	4	-	9	-	19	-	21	9	-	-	3	250
ASSOCIATE	4	-	9	-	19	-	21	9	-	7	4	250
MISAPPROPRIATING	-	-	-	-	-	-	-	16	-	-	-	-
LOGS	-	-	-	-	-	-	-	4	-	-	-	-
CLUMSY	-	386	5	512	6	436	6	6	430	6	2	41
GLOSS	1	-	1	-	1	-	1	5	-	4	1	14
TRANSFORMERS	-	-	-	-	-	-	-	12	-	-	-	-
WIG	-	618	1	518	1	587	1	3	423	3	1	23
RENTAL	-	-	7	-	8	-	15	6	-	5	2	6
CINEMA	2	-	3	-	3	-	3	6	-	6	3	22
SHARK	-	611	-	516	-	602	-	5	423	3	1	15
CROWNS	-	-	-	-	-	-	-	6	-	-	-	-
RAMPANT	-	-	4	247	4	337	4	7	-	7	2	9
KLAXON	-	-	1	-	1	-	1	6	-	6	2	-
TURNKEY	-	-	1	-	1	-	1	7	-	5	2	12
INTELLECTUALS	-	-	-	-	-	-	-	13	-	-	-	-
DRAGGED	-	-	-	-	-	-	-	7	-	-	-	-
CALCULATOR	-	-	-	-	-	-	-	10	-	10	4	-
HORMONE	-	-	2	-	2	-	13	7	-	5	2	-
RULED	-	-	-	-	-	-	-	5	-	-	-	-
GETTING	116	-	15	-	122	-	164	7	-	-	2	-
KNUCKLE	1	586	2	491	3	520	3	7	337	4	2	38
STATUESQUE	-	-	-	-	-	-	-	10	-	9	3	-
PEAS	-	-	-	-	-	-	-	4	-	-	-	-
SCREAM	1	479	5	522	12	589	13	6	-	5	1	363
SOULFUL	-	-	1	-	1	-	1	7	-	-	2	-
WHINY	-	-	-	-	-	-	-	5	-	4	2	-
HOOKER	-	-	-	-	-	-	-	6	-	4	2	24
PRETENDS	-	-	-	-	-	-	-	8	-	-	-	-
PRIMORDIAL	-	-	-	-	-	-	-	10	-	9	3	-
BULLY	-	-	4	-	4	-	4	5	-	4	2	37
BODY	12	568	15	610	142	614	276	4	543	4	2	999
SOMETIME	5	-	8	-	11	-	11	8	-	-	3	164
SOMETIME	5	-	8	-	11	-	11	8	-	6	2	164
DESCENDANT	-	-	1	-	2	-	2	10	-	9	3	21
FOOLING	-	-	3	-	3	-	3	7	-	-	2	-
COLLAPSIBLE	-	-	1	-	1	-	1	11	-	9	4	-
SHYNESS	-	-	-	-	-	-	-	7	-	-	-	-
HEADPHONES	-	-	-	-	-	-	-	10	-	-	-	-
CHERRIES	12	-	-	-	-	-	-	8	-	-	-	-
PORTRAY	-	337	3	486	5	377	6	7	349	5	2	28
PANDERING	-	-	-	-	-	-	-	9	-	-	-	-
AWARDED	-	-	-	-	-	-	-	7	-	-	-	-
CORRESPONDING	2	-	7	-	25	-	38	13	-	-	4	14
INNOVATION	-	-	5	-	7	-	7	10	-	8	4	23
JAB	-	-	1	-	1	-	1	3	-	3	1	13
HESITATED	1	-	-	-	-	-	-	9	-	-	-	-
DOTS	-	-	-	-	-	-	-	4	-	-	-	-
SCREECHES	-	-	-	-	-	-	-	9	-	-	-	-
SOFTLY	-	363	9	524	24	456	31	6	477	-	2	329
GOO	-	-	-	-	-	-	-	3	-	-	-	-
REFRESH	-	362	1	502	1	374	1	7	385	6	2	42
ANNOYED	4	-	-	-	-	-	-	7	-	-	-	-
CARPAL	-	-	-	-	-	-	-	6	-	-	2	-
BACKWASH	-	-	-	-	-	-	-	8	-	6	2	-
MULL	-	-	-	-	-	-	-	4	-	3	1	6
ADMITS	-	-	-	-	-	-	-	6	-	-	-	-
HURTING	1	-	-	-	-	-	-	7	-	-	-	-
RECONSIDER	-	-	3	-	4	-	4	10	-	9	4	7
NONCHALANCE	-	-	-	-	-	-	-	11	-	9	3	20
BARNEY	-	-	2	-	2	-	8	6	-	-	2	-
HINCKLEY	-	-	-	-	-	-	-	8	-	-	-	-
SHOOT	5	445	9	536	20	494	27	5	457	3	1	315
SQUEEZER	-	-	-	-	-	-	-	8	-	6	2	-
COLUMNS	-	-	-	-	-	-	-	7	-	-	-	-
SAGGING	-	-	-	-	-	-	-	7	-	-	-	-
SOON	20	261	15	547	146	278	199	4	307	3	1	1445
PLANES	-	-	-	-	-	-	-	6	-	-	-	-
SIGNIFICANTLY	-	-	-	-	-	-	-	13	-	-	-	-
HUBBY	-	-	1	-	1	-	1	5	-	4	2	-
MISGUIDED	-	-	2	-	2	-	2	9	-	8	3	7
PROTONS	-	-	-	-	-	-	-	7	-	-	-	-
VISIBLE	-	-	11	-	29	-	34	7	-	-	2	110
VISIBLE	-	-	11	-	29	-	34	7	-	6	3	110
THERMITE	-	-	-	-	-	-	-	8	-	-	2	-
CLIENTELE	-	-	3	-	3	-	3	9	-	-	2	16
TICKLED	-	-	-	-	-	-	-	7	-	-	-	-
HITHER	1	-	2	-	2	-	2	6	-	4	2	12
COMPLACENT	-	268	1	382	1	365	1	10	347	9	3	13
MARK	17	464	12	533	56	434	83	4	376	3	1	404
GARAGE	1	-	6	-	11	-	21	6	-	-	2	185
DEFEATS	-	-	-	-	-	-	-	7	-	-	-	-
FILE	4	480	12	504	27	442	81	4	378	3	1	174
PHYSIOLOGY	1	-	2	-	2	-	2	10	-	9	5	5
WARRIOR	-	525	2	368	3	553	5	7	-	5	2	41
CHARACTERS	5	-	-	-	-	-	-	10	-	-	-	-
EXPLOIT	-	-	6	-	9	-	9	7	-	7	2	44
WHOOPEE	-	-	-	-	-	-	-	7	-	4	2	-
DISPROVE	-	-	2	-	3	-	3	8	-	7	2	8
TIPS	1	-	-	-	-	-	-	4	-	-	-	-
TREAD	1	-	4	-	5	-	5	5	-	4	1	55
OPTIONS	5	-	-	-	-	-	-	7	-	-	-	-
THEATRES	-	-	-	-	-	-	-	8	-	-	-	-
ALARMIST	-	-	1	-	1	-	1	8	-	7	3	-
REWARDED	-	-	-	-	-	-	-	8	-	-	-	-
HEALER	-	-	2	-	2	-	2	6	-	4	2	-
RESPONDS	-	-	-	-	-	-	-	8	-	-	-	-
ZONES	-	-	-	-	-	-	-	5	-	-	-	-
WATCH	7	487	13	576	68	525	81	5	445	4	1	1722
BANTER	-	-	2	-	2	-	5	6	-	5	2	26
GRASSHOPPERS	-	-	-	-	-	-	-	12	-	-	-	-
PET	1	557	4	541	8	589	8	3	582	3	1	162
PYJAMAS	-	-	-	-	-	-	-	7	-	-	3	-
DEPLOYMENT	-	-	1	-	1	-	1	10	-	9	3	-
SPEECHES	2	-	-	-	-	-	-	8	-	-	-	-
OUTDO	-	-	3	-	3	-	3	5	-	4	2	7
SPORES	-	-	-	-	-	-	-	6	-	-	-	-
BOO	1	-	1	-	1	-	1	3	-	2	1	1
RETCH	-	-	1	-	1	-	1	5	-	4	1	-
WIGS	-	-	-	-	-	-	-	4	-	-	-	-
CODICIL	-	-	-	-	-	-	-	7	-	7	3	-
DOCKED	-	-	-	-	-	-	-	6	-	-	-	-
REBUILDING	-	-	-	-	-	-	-	10	-	-	-	-
CAPTURE	1	-	7	-	17	-	17	7	-	6	2	96
GROVEL	-	-	1	-	1	-	1	6	-	5	2	3
CRACKERS	-	-	-	-	-	-	-	8	-	-	-	-
VISION	3	395	13	529	38	440	56	6	440	-	2	248
BENJAMIN	-	-	6	-	10	-	12	8	-	-	3	-
WELCOMES	-	-	-	-	-	-	-	8	-	-	-	-
HOVER	-	-	3	-	4	-	4	5	-	4	2	80
DRIVEWAY	-	-	8	-	12	-	14	8	-	-	3	46
SENIOR	11	-	9	-	25	-	34	6	-	5	2	94
REQUEST	-	-	11	-	35	-	49	7	-	7	2	191
FORTUNE	3	364	10	497	17	459	25	7	-	6	2	382
BARBER	-	-	3	-	5	-	8	6	-	4	2	50
AFFECTATION	-	-	1	-	1	-	1	11	-	9	4	19
BELIEVERS	-	-	-	-	-	-	-	9	-	-	-	-
CHINESE	-	-	10	-	23	-	56	7	-	6	2	249
SOLDIER	3	578	9	517	19	578	39	7	497	5	2	259
MEASURED	1	-	10	-	32	-	66	8	-	-	3	-
REALISTIC	4	-	8	-	26	-	34	9	-	9	3	15
MARRIAGES	1	-	-	-	-	-	-	9	-	-	-	-
GOTH	-	-	-	-	-	-	-	4	-	-	1	-
RELATIVELY	5	-	-	-	-	-	-	10	-	-	-	-
CONSTRUCTION	2	464	10	466	49	410	95	12	-	11	3	134
TAFFY	-	-	1	-	1	-	1	5	-	4	2	-
QUANTITIES	1	-	-	-	-	-	-	10	-	-	-	-
PINNING	1	-	-	-	-	-	-	7	-	-	-	-
RAMBLING	-	-	2	-	2	-	2	8	-	7	2	-
MANNEQUINS	-	-	-	-	-	-	-	10	-	-	-	-
TABULATE	-	-	1	-	1	-	1	8	-	8	3	12
EXCHANGED	-	-	-	-	-	-	-	9	-	-	-	-
TEE	-	-	1	-	2	-	5	3	-	2	1	17
INDIANA	-	-	-	-	-	-	-	7	-	-	-	-
COWBOY	-	-	6	521	7	-	16	6	-	4	2	40
CRUMBS	1	-	-	-	-	-	-	6	-	-	-	-
HINTS	2	-	-	-	-	-	-	5	-	-	-	-
APPAREL	-	-	2	-	2	-	3	7	-	6	3	60
ISSUE	5	338	11	525	82	315	152	5	-	4	2	447
SCHEMATIC	-	-	1	-	3	-	3	9	-	8	3	-
POPPING	1	-	-	-	-	-	-	7	-	-	-	-
WALL	13	589	14	596	87	576	160	4	439	3	1	1122
LEGALLY	3	-	-	-	-	-	-	7	-	-	-	-
PIERCED	-	-	2	469	4	475	4	7	-	-	2	-
THROWS	3	-	-	-	-	-	-	6	-	-	-	-
SHALL	72	-	15	558	107	237	267	5	-	3	1	708
SAY	432	-	15	-	242	-	504	3	-	2	1	4061
NOTE	12	525	14	594	95	503	127	4	438	3	1	948
STEAM	1	552	8	545	11	591	17	5	433	4	1	193
FIGURE	9	472	14	534	109	526	209	6	513	4	2	1202
INTENTIONALLY	-	-	-	-	-	-	-	13	-	-	-	-
VIBRATES	-	-	-	-	-	-	-	8	-	-	-	-
REALLY	633	-	15	562	168	246	275	6	-	4	2	1944
PROPORTIONAL	-	-	1	-	6	-	14	12	-	9	4	10
MOTHERS	1	-	-	-	-	-	-	7	-	-	-	-
AMENDMENT	2	326	5	403	15	305	23	9	-	9	3	29
ADD	8	-	12	-	63	-	88	3	-	2	1	2018
POST	21	533	11	586	50	518	84	4	398	4	1	1043
TOASTING	-	-	-	-	-	-	-	8	-	-	-	-
POINTING	1	-	9	-	24	-	26	8	-	-	2	-
STUPOR	-	-	3	-	4	-	4	6	-	6	2	22
CLASSY	-	-	-	-	-	-	-	6	-	5	2	-
TRASH	4	588	2	541	2	599	2	5	498	4	1	42
DRUGGED	-	-	-	-	-	-	-	7	-	-	-	-
DEVELOPS	2	-	-	-	-	-	-	8	-	-	-	-
CHRISTMAS	32	432	11	611	19	629	27	9	-	7	2	-
IMPORTANTLY	1	-	-	-	-	-	-	11	-	-	-	-
SUPERNATURAL	-	-	4	-	6	-	17	12	-	-	5	6
SUPERNATURAL	-	-	4	-	6	-	17	12	-	12	4	6
DECIDER	-	-	-	-	-	-	-	7	-	6	3	-
LEMONS	-	-	-	-	-	-	-	6	-	-	-	-
ALIENS	-	-	-	-	-	-	-	6	-	-	-	-
YOUNGSTERS	1	-	-	-	-	-	-	10	-	-	-	-
ORGANISM	-	-	3	-	4	-	6	8	-	8	4	10
WIN	3	364	11	582	38	454	55	3	-	3	1	302
SLACKERS	-	-	-	-	-	-	-	8	-	-	-	-
SCOUT	-	562	4	452	4	578	8	5	-	4	1	108
ADHERES	-	-	-	-	-	-	-	7	-	-	-	-
SHELLFISH	-	-	-	-	-	-	-	9	-	-	-	-
SITS	5	-	-	-	-	-	-	4	-	-	-	-
INTESTINES	-	-	-	-	-	-	-	10	-	-	-	-
AGNOSTIC	-	-	-	-	-	-	-	8	-	-	3	-
MICHIGAN	-	-	-	-	-	-	-	8	-	-	-	-
FALLACY	-	258	1	379	1	287	1	7	-	6	3	18
CONCERT	4	252	8	520	21	578	39	7	-	6	2	110
AMBULANCE	-	595	3	499	4	627	6	9	-	9	3	90
HOMOSEXUAL	-	-	2	-	2	-	2	10	-	12	4	-
REPLACED	1	-	-	-	-	-	-	8	-	-	-	-
BLOT	-	-	6	-	6	-	6	4	-	4	1	72
DEPOSIT	-	417	6	532	6	413	9	7	-	7	3	119
CYANIDE	-	-	-	-	-	-	-	7	-	6	3	13
TRAP	-	-	9	-	14	-	20	4	-	4	1	199
NIGHTCLUBS	-	-	-	-	-	-	-	10	-	-	-	-
CALCULATION	-	-	4	-	10	-	12	11	-	11	4	49
AMAZING	9	-	9	-	20	-	20	7	-	-	3	133
FORMER	1	-	14	523	90	283	131	6	-	4	2	233
LENIENT	-	285	3	473	3	375	3	7	407	7	2	9
MIGHT	143	271	15	533	310	346	672	5	380	3	1	3089
POLL	-	429	4	453	7	488	9	4	387	3	1	23
